Epoch,Memory,trainBoxLoss,trainObjLoss,trainClsLoss,trainLoss,count,fixed,precision,recall,map05,map0595,valBoxLoss,valObjLoss,valClsLoss
96,9.14G,0.01399,0.0054,0.01045,0.02984,100,512,0.6828,0.7155,0.7111,0.6796,0.0125,0.00328,0.02001
97,9.14G,0.01393,0.005326,0.01037,0.02962,100,512,0.683,0.7157,0.7114,0.6798,0.01251,0.003284,0.01997
98,9.14G,0.01403,0.005372,0.01035,0.02975,72,512,0.6832,0.7159,0.7117,0.6801,0.01251,0.003285,0.01993
99,9.14G,0.01397,0.005406,0.01038,0.02976,125,512,0.6837,0.7161,0.7122,0.6805,0.01251,0.003295,0.01987
100,9.14G,0.01395,0.005364,0.01025,0.02956,139,512,0.6837,0.7163,0.7126,0.681,0.01251,0.003302,0.01981
101,9.14G,0.01396,0.005359,0.01039,0.02971,114,512,0.6845,0.7167,0.7131,0.6814,0.01251,0.003304,0.01976
102,9.14G,0.01391,0.005398,0.01054,0.02985,125,512,0.6869,0.7147,0.7133,0.6816,0.01252,0.003248,0.01972
103,9.14G,0.01376,0.005296,0.01031,0.02937,138,512,0.6868,0.7129,0.7134,0.6817,0.01256,0.003225,0.01971
104,9.14G,0.01388,0.005332,0.01027,0.02948,115,512,0.6874,0.7126,0.7134,0.6816,0.01259,0.003226,0.01969
105,9.14G,0.01375,0.005255,0.01035,0.02935,117,512,0.6883,0.7135,0.7137,0.6819,0.01261,0.00323,0.01966
106,9.14G,0.01381,0.005294,0.01033,0.02944,92,512,0.6889,0.7143,0.7139,0.6821,0.01262,0.003235,0.01963
107,9.14G,0.01384,0.00531,0.01023,0.02938,101,512,0.6895,0.7146,0.7141,0.6824,0.01262,0.003237,0.01961
108,9.14G,0.01367,0.005313,0.01022,0.0292,130,512,0.6898,0.715,0.7142,0.6822,0.01262,0.003237,0.01957
109,9.14G,0.01376,0.005302,0.01023,0.02929,95,512,0.6899,0.715,0.7147,0.6827,0.01262,0.003233,0.01953
110,9.14G,0.01354,0.005241,0.01007,0.02885,87,512,0.6899,0.7148,0.715,0.6829,0.01262,0.003231,0.01949
111,9.14G,0.01362,0.005244,0.0101,0.02897,96,512,0.6901,0.7146,0.7151,0.6829,0.01262,0.003233,0.01945
112,9.14G,0.01343,0.005179,0.01004,0.02864,96,512,0.69,0.7155,0.7155,0.6834,0.01262,0.003234,0.0194
113,9.14G,0.01354,0.005256,0.01007,0.02887,153,512,0.69,0.7158,0.716,0.6839,0.01261,0.003229,0.01936
114,9.14G,0.0136,0.005235,0.01018,0.02901,90,512,0.6999,0.7197,0.7198,0.6874,0.01261,0.003233,0.01932
115,9.14G,0.01346,0.005224,0.01007,0.02876,104,512,0.7055,0.7211,0.7198,0.6875,0.01261,0.003235,0.01928
116,9.14G,0.01338,0.005188,0.0101,0.02867,117,512,0.7054,0.7215,0.7202,0.6878,0.01261,0.003237,0.01924
117,9.14G,0.01349,0.005199,0.009988,0.02867,127,512,0.7066,0.7221,0.7206,0.6882,0.01261,0.003245,0.01919
118,9.14G,0.01321,0.005144,0.009966,0.02832,110,512,0.7065,0.7223,0.7208,0.6884,0.0126,0.003248,0.01915
119,9.14G,0.01333,0.005158,0.01001,0.02849,97,512,0.7067,0.7218,0.7213,0.6887,0.01259,0.003247,0.0191
120,9.14G,0.01323,0.005192,0.009943,0.02836,114,512,0.7061,0.7213,0.7217,0.6891,0.01259,0.003246,0.01905
121,9.14G,0.01345,0.005191,0.009844,0.02848,114,512,0.7061,0.7217,0.7221,0.6895,0.01257,0.003247,0.01899
122,9.14G,0.01321,0.005127,0.00992,0.02826,81,512,0.7063,0.7227,0.7226,0.6897,0.01256,0.003242,0.01895
123,9.14G,0.01335,0.005163,0.009929,0.02844,117,512,0.7081,0.7247,0.723,0.6901,0.01255,0.003243,0.0189
124,9.14G,0.01321,0.005146,0.009883,0.02824,86,512,0.7067,0.7247,0.7231,0.6904,0.01254,0.003244,0.01886
125,9.14G,0.01311,0.005092,0.009831,0.02803,125,512,0.7066,0.7251,0.7233,0.6904,0.01253,0.003244,0.01881
126,9.14G,0.01319,0.005142,0.009836,0.02817,118,512,0.7064,0.7251,0.724,0.691,0.01251,0.003241,0.01878
127,9.14G,0.01303,0.005118,0.00987,0.02802,116,512,0.7067,0.7256,0.7243,0.6912,0.01249,0.00324,0.01874
128,9.14G,0.01311,0.005131,0.009902,0.02814,76,512,0.707,0.7257,0.7245,0.6914,0.01248,0.003235,0.01869
129,9.14G,0.01313,0.005117,0.009777,0.02802,96,512,0.7067,0.7255,0.7248,0.6916,0.01246,0.003224,0.01865
